task_id,total_labels,interpreted_n,unsupported_n,historical_s_n,historical_i_n,historical_r_n,harmonized_s_n,harmonized_i_n,harmonized_r_n,binary_s_vs_ir_agreement,exact_sir_agreement,reclassified_n
ec_cip,7442,7376,66,1562,1086,4794,1653,951,4772,0.9863069414316703,0.9830531453362256,125
ec_cro,2762,2753,9,1142,6,1614,1137,4,1612,0.9992735197965855,0.9992735197965855,2
ec_fep,6921,6485,436,4102,0,2819,3787,0,2698,1.0,1.0,0
kp_caz,7624,7491,133,4206,178,3240,4135,177,3179,0.999733012948872,0.999199038846616,6
kp_cip,7628,7486,142,3557,393,3678,3513,363,3610,0.9963932674325408,0.9947902751803366,39
kp_cro,2374,2338,36,1290,9,1075,1268,9,1061,1.0,1.0,0
kp_fep,7514,7011,503,4352,0,3162,4068,1,2942,0.9998573669947226,0.9998573669947226,1
sa_gen,3519,3506,13,2954,94,471,2943,94,469,1.0,1.0,0
sa_lvx,3518,3504,14,2426,33,1059,2418,33,1053,0.9997146118721462,0.9994292237442922,2
sa_oxa,3517,3501,16,1668,0,1849,2004,0,1497,0.9017423593259069,0.9017423593259069,344
