run_id,task_id,analysis_id,protocol,analysis_version,model,endpoint,analysis_variant,development_definition,test_definition,n_development,development_positive_n,development_negative_n,n_test,test_positive_n,test_negative_n,test_patient_n,test_episode_n,rolling_origin_fold_n,hyperparameter_source,best_hyperparameters,status,oof_n,oof_positive_n,oof_negative_n,AUROC,AUPRC,AUPRC_baseline,AUPRC_lift,Brier_raw,ECE_raw,calibration_slope_raw,calibration_intercept_raw,Brier_platt,ECE_platt,calibration_slope_platt,calibration_intercept_platt,threshold_youden,sensitivity_youden,specificity_youden,PPV_youden,NPV_youden,non_susceptible_miss_rate_youden,susceptible_alert_rate_youden,threshold_sens90,sensitivity_sens90,specificity_sens90,PPV_sens90,NPV_sens90,non_susceptible_miss_rate_sens90,susceptible_alert_rate_sens90,threshold_spec90,sensitivity_spec90,specificity_spec90,PPV_spec90,NPV_spec90,non_susceptible_miss_rate_spec90,susceptible_alert_rate_spec90,AUROC_CI_low,AUROC_CI_high,AUPRC_CI_low,AUPRC_CI_high,AUPRC_baseline_CI_low,AUPRC_baseline_CI_high,AUPRC_lift_CI_low,AUPRC_lift_CI_high,Brier_raw_CI_low,Brier_raw_CI_high,ECE_raw_CI_low,ECE_raw_CI_high,calibration_slope_raw_CI_low,calibration_slope_raw_CI_high,calibration_intercept_raw_CI_low,calibration_intercept_raw_CI_high,Brier_platt_CI_low,Brier_platt_CI_high,ECE_platt_CI_low,ECE_platt_CI_high,calibration_slope_platt_CI_low,calibration_slope_platt_CI_high,calibration_intercept_platt_CI_low,calibration_intercept_platt_CI_high,sensitivity_youden_CI_low,sensitivity_youden_CI_high,specificity_youden_CI_low,specificity_youden_CI_high,PPV_youden_CI_low,PPV_youden_CI_high,NPV_youden_CI_low,NPV_youden_CI_high,non_susceptible_miss_rate_youden_CI_low,non_susceptible_miss_rate_youden_CI_high,susceptible_alert_rate_youden_CI_low,susceptible_alert_rate_youden_CI_high,sensitivity_sens90_CI_low,sensitivity_sens90_CI_high,specificity_sens90_CI_low,specificity_sens90_CI_high,PPV_sens90_CI_low,PPV_sens90_CI_high,NPV_sens90_CI_low,NPV_sens90_CI_high,non_susceptible_miss_rate_sens90_CI_low,non_susceptible_miss_rate_sens90_CI_high,susceptible_alert_rate_sens90_CI_low,susceptible_alert_rate_sens90_CI_high,sensitivity_spec90_CI_low,sensitivity_spec90_CI_high,specificity_spec90_CI_low,specificity_spec90_CI_high,PPV_spec90_CI_low,PPV_spec90_CI_high,NPV_spec90_CI_low,NPV_spec90_CI_high,non_susceptible_miss_rate_spec90_CI_low,non_susceptible_miss_rate_spec90_CI_high,susceptible_alert_rate_spec90_CI_low,susceptible_alert_rate_spec90_CI_high
sa_oxacillin__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__all_samples_workload_primary__patient_disjoint_test,sa_oxa,patient_episode_sensitivity,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,patient_disjoint_test,2025-07-01 through 2026-02-28,2026-03-01 through 2026-06-09,498,262,236,179,100,79,144,145,3,rolling_origin_selection,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}",ok,252,124,128,0.6132911392405063,0.7004724220104391,0.5586592178770949,1.2538456353986862,0.31104483901803087,0.2505353495870341,0.15097093189463676,0.2042428258527435,0.2445837460808659,0.07494303352459618,0.6314854441818948,0.2835455898668074,0.5048215668479408,0.55,0.6329113924050633,0.6547619047619048,0.5263157894736842,0.44999999999999996,0.36708860759493667,0.348459796366438,0.81,0.21518987341772153,0.5664335664335665,0.4722222222222222,0.18999999999999995,0.7848101265822784,0.6088670120144205,0.31,0.8860759493670886,0.775,0.5035971223021583,0.69,0.11392405063291144,0.5170577081861033,0.7017594773647405,0.5799977879427374,0.7996745006606762,0.47674418604651164,0.6417299017118274,1.106100442761256,1.4300043366611757,0.2554103849598464,0.3716524437813662,0.20051748687636262,0.34627959025394256,0.032662090245648735,0.2776671492617963,-0.1324952827048676,0.5483328056564563,0.22109321506686444,0.26807839962628865,0.05802401765753065,0.1711785807978979,0.1363366629757399,1.161389380498763,-0.04420234503446354,0.6330179468828313,0.43562204046491604,0.6600178571428572,0.5262392900856793,0.7466708860759494,0.5308456046407853,0.7682926829268293,0.4199938271604938,0.6404494382022472,0.33998214285714284,0.564377959535084,0.2533291139240506,0.4737607099143206,0.7233995060790274,0.8889639639639638,0.12675610625779996,0.31325750764251037,0.47466710504685183,0.6641804662817301,0.3076923076923077,0.6428571428571429,0.1110360360360361,0.2766004939209726,0.6867424923574896,0.8732438937422,0.21051315789473682,0.40742630385487527,0.808969524395875,0.950030487804878,0.6215983224603914,0.9,0.41219208488982734,0.5957517260814428,0.5925736961451247,0.7894868421052632,0.049969512195121996,0.19103047560412498
sa_oxacillin__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__patient_species_30d_episode_first,sa_oxa,patient_episode_sensitivity,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,patient_species_30d_episode_first,2025-07-01 through 2026-02-28,2026-03-01 through 2026-06-09,416,208,208,152,85,67,151,152,3,fixed_from_all_samples_same_task_protocol_label,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}",ok,203,92,111,0.6110623353819139,0.7016059987218636,0.5592105263157895,1.2546366094790973,0.3152501864321402,0.26216691874266973,0.13565604758648012,0.25695175873316295,0.2533120190963574,0.11885955350148775,0.5999159878269752,0.4060047392760122,0.4301412745131935,0.6235294117647059,0.582089552238806,0.654320987654321,0.5492957746478874,0.3764705882352941,0.417910447761194,0.3134083121464426,0.8235294117647058,0.2537313432835821,0.5833333333333334,0.53125,0.17647058823529416,0.7462686567164178,0.5932454626696226,0.23529411764705882,0.9253731343283582,0.8,0.4881889763779528,0.7647058823529411,0.07462686567164178,0.5191675191525154,0.7005244755244755,0.5963714645394858,0.79342929895807,0.47368421052631576,0.6382170192638459,1.1132673018160961,1.4231430321367433,0.2566676441595133,0.3755722341457271,0.20878196931212498,0.3572693618949468,0.0263319013532744,0.2615615025833373,-0.09851981790226728,0.595118615994646,0.22778674110389965,0.2795452245199209,0.07578545713004364,0.20382530572253965,0.11641778793469855,1.157223019290565,0.050238483321483215,0.7665264086601433,0.5128205128205128,0.7333544303797468,0.46551724137931033,0.6973945279866332,0.5384615384615384,0.7558139534883721,0.4364734561213434,0.6666666666666666,0.2666455696202532,0.4871794871794872,0.3026054720133668,0.5344827586206897,0.7448866213151928,0.9012646793134598,0.15251669234720083,0.3611111111111111,0.49137552934059286,0.6722725297015358,0.3548387096774194,0.7037037037037037,0.0987353206865402,0.2551133786848072,0.6388888888888888,0.8474833076527991,0.144726668475312,0.32468344155844153,0.8499828767123287,0.9843810096153847,0.6248511904761905,0.954594861660079,0.40306262589269365,0.5846186440677966,0.6753165584415585,0.855273331524688,0.015618990384615384,0.15001712328767125
sa_levofloxacin__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__all_samples_workload_primary__patient_disjoint_test,sa_lvx,patient_episode_sensitivity,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,patient_disjoint_test,2025-07-01 through 2026-02-28,2026-03-01 through 2026-06-09,496,187,309,179,61,118,144,145,3,rolling_origin_selection,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 31, ""subsample"": 0.8}",ok,251,99,152,0.7936926924145595,0.7188680175194236,0.3407821229050279,2.1094651661635546,0.20018519725625908,0.16809966255846756,0.31339491462719377,-0.09098146177724359,0.16704014281047513,0.06464423235189018,1.3992934301007012,0.13396471714040065,0.5340788789068648,0.4098360655737705,0.9322033898305084,0.7575757575757576,0.7534246575342466,0.5901639344262295,0.06779661016949157,0.23385568453118064,0.9016393442622951,0.4491525423728814,0.4583333333333333,0.8983050847457628,0.09836065573770492,0.5508474576271186,0.5894219327842807,0.32786885245901637,0.9661016949152542,0.8333333333333334,0.7354838709677419,0.6721311475409837,0.03389830508474578,0.704002552367541,0.865292599357362,0.5850186979130692,0.8254316513803066,0.2569122503780981,0.42857142857142855,1.7248540014939584,2.706081140129609,0.14441580739664722,0.2575561936015757,0.12138511624271722,0.24984493555801965,0.21695516152921202,0.43776893522854987,-0.5415032494404042,0.38501364936068133,0.13803166725480323,0.19918526157802097,0.05439558496615827,0.13997997991697153,0.9685907667635185,1.9537081862392445,-0.3323625553332122,0.6839805056028189,0.2711776129943503,0.5490441176470588,0.8818879742304939,0.9747951680672269,0.567545045045045,0.9090909090909091,0.6688189845474614,0.8333333333333334,0.45095588235294115,0.7288223870056497,0.02520483193277313,0.1181120257695061,0.8043284161490684,0.9807692307692307,0.34779380111924235,0.548731262416471,0.3490457850095205,0.5652342433434445,0.7906882970742686,0.9800098039215686,0.019230769230769273,0.19567158385093164,0.45126873758352903,0.6522061988807576,0.18963077423552374,0.4769402985074627,0.9327731092436975,0.9916666666666667,0.6363636363636364,0.9615384615384616,0.6505950181092468,0.8163451966152314,0.5230597014925372,0.8103692257644762,0.008333333333333304,0.0672268907563025
sa_levofloxacin__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__patient_species_30d_episode_first,sa_lvx,patient_episode_sensitivity,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,patient_species_30d_episode_first,2025-07-01 through 2026-02-28,2026-03-01 through 2026-06-09,414,145,269,152,47,105,151,152,3,fixed_from_all_samples_same_task_protocol_label,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 31, ""subsample"": 0.8}",ok,202,72,130,0.7627152988855117,0.6701299946546779,0.3092105263157895,2.1672289188832137,0.19676548507319047,0.17123462705268394,0.27671078882456124,-0.2035204542299231,0.16508965644341467,0.060436244096396544,1.0639711617941703,0.05573331571588694,0.3591277377374844,0.574468085106383,0.8285714285714286,0.6,0.8130841121495327,0.42553191489361697,0.17142857142857137,0.19114012227649838,0.8297872340425532,0.4666666666666667,0.4105263157894737,0.8596491228070176,0.17021276595744683,0.5333333333333333,0.5969668883485502,0.3191489361702128,0.9619047619047619,0.7894736842105263,0.7593984962406015,0.6808510638297872,0.03809523809523807,0.6768525109158708,0.8455368076890254,0.5297825331244149,0.7907190411016961,0.23837138375740677,0.38822215928895076,1.765801112922424,2.7767154606869053,0.14607185580072105,0.2534866722146045,0.136236531588552,0.25512462410202985,0.18582787507957746,0.4004954439645908,-0.618607701840478,0.253238963909726,0.13391369764404046,0.19770392596055658,0.0507459147650159,0.14729644147835028,0.7147846172350962,1.5399908614876723,-0.39384928214472853,0.5850939827473305,0.425,0.7143530997304581,0.7544936993699369,0.9000225225225226,0.44178956324446966,0.744198416625433,0.7368301435406698,0.8817928039702233,0.28564690026954176,0.575,0.09997747747747746,0.24550630063006298,0.720906976744186,0.9268728222996516,0.37254901960784315,0.5577205882352941,0.3125,0.5158068247541933,0.7678571428571429,0.9444444444444444,0.07312717770034839,0.279093023255814,0.44227941176470587,0.6274509803921569,0.19044401544401543,0.46511627906976744,0.9245103324348608,1.0,0.5882352941176471,1.0,0.682521645021645,0.8294616709732989,0.5348837209302326,0.8095559845559845,0.0,0.07548966756513922
sa_gentamicin__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__all_samples_workload_primary__patient_disjoint_test,sa_gen,patient_episode_sensitivity,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,patient_disjoint_test,2025-07-01 through 2026-02-28,2026-03-01 through 2026-06-09,496,80,416,179,30,149,144,145,3,rolling_origin_selection,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}",ok,251,48,203,0.8420581655480983,0.5717579760062883,0.16759776536312848,3.4114892568375206,0.1224964820506447,0.11868462825496791,0.3375415519825214,-0.05753772485231122,0.10657276841337919,0.06017054841086129,1.444793348120919,0.10091947052392357,0.28614549107231607,0.5666666666666667,0.8523489932885906,0.4358974358974359,0.9071428571428571,0.43333333333333335,0.1476510067114094,0.07392670946402612,1.0,0.10738255033557047,0.18404907975460122,1.0,0.0,0.8926174496644296,0.32297591044642604,0.5,0.8926174496644296,0.4838709677419355,0.8986486486486487,0.5,0.10738255033557043,0.7591017185821698,0.9070425849481247,0.3573004411651536,0.7561462390467638,0.09549892990904227,0.24470908118388204,2.3980595374053935,5.314190973172422,0.07430775198297963,0.18018982332385045,0.07411112255092685,0.17947413482378843,0.22943981851054362,0.48408194072458316,-0.8507831338589223,0.7734517785140742,0.07741238993355425,0.14137477878421081,0.04786004292624396,0.11746934611670794,0.9800479143759256,2.0707153313048012,-0.7258590345579652,0.9992495015690405,0.36354545454545456,0.75,0.7852242800101945,0.9108312974435041,0.23333333333333334,0.6271269524759056,0.847995652173913,0.9555637254901961,0.25,0.6364545454545454,0.08916870255649592,0.21477571998980546,1.0,1.0,0.058823529411764705,0.16197658926532166,0.10758363471971068,0.2682996515679443,1.0,1.0,0.0,0.0,0.8380234107346783,0.9411764705882353,0.3157894736842105,0.6666666666666666,0.8367313592103508,0.9411860198624904,0.26666666666666666,0.6875,0.8389261744966443,0.9481481481481482,0.33333333333333337,0.6842105263157895,0.05881398013750956,0.16326864078964914
sa_gentamicin__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__patient_species_30d_episode_first,sa_gen,patient_episode_sensitivity,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,patient_species_30d_episode_first,2025-07-01 through 2026-02-28,2026-03-01 through 2026-06-09,414,56,358,152,22,130,151,152,3,fixed_from_all_samples_same_task_protocol_label,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}",ok,202,31,171,0.8363636363636363,0.5308055496097718,0.14473684210526316,3.6673837973038776,0.11129328245933869,0.11766082383386287,0.293814132406247,-0.29967241087591734,0.09744856229755972,0.07168247844784668,0.9318697271487149,-0.31721443251478343,0.30114416306009717,0.5,0.9076923076923077,0.4782608695652174,0.9147286821705426,0.5,0.09230769230769231,0.0250534259169371,1.0,0.06923076923076923,0.15384615384615385,1.0,0.0,0.9307692307692308,0.25760327033487035,0.5,0.8769230769230769,0.4074074074074074,0.912,0.5,0.12307692307692308,0.744289088863892,0.9105030900012541,0.32998400411058065,0.7303355593095114,0.08609271523178808,0.2026477038183694,2.4727269187774774,6.081942815548003,0.0653042162824104,0.1619709226708915,0.07362565426518987,0.1747140512169436,0.19470138145101548,0.42361393394666297,-1.0544569786483637,0.39198954095042726,0.06301372169480633,0.1329128376275316,0.049752164865064924,0.13336674765647116,0.6176432137783103,1.343935664184026,-1.071440357693963,0.36979856066188965,0.3076086956521739,0.7059436274509804,0.8503838582677166,0.9538461538461539,0.2631006864988558,0.6818181818181818,0.8650793650793651,0.9612403100775194,0.29405637254901956,0.692391304347826,0.0461538461538461,0.1496161417322834,1.0,1.0,0.03007518796992481,0.11365804996530185,0.09352517985611511,0.21379310344827587,1.0,1.0,0.0,0.0,0.8863419500346981,0.9699248120300752,0.3076086956521739,0.7059436274509804,0.8153781512605042,0.9270321167883211,0.20829741379310346,0.5909511784511784,0.8595009039256198,0.9596774193548387,0.29405637254901956,0.692391304347826,0.07296788321167885,0.1846218487394958
kp_cefepime__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__all_samples_workload_primary__patient_disjoint_test,kp_fep,patient_episode_sensitivity,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,patient_disjoint_test,2025-07-01 through 2026-02-28,2026-03-01 through 2026-06-09,1089,394,695,392,143,249,309,314,3,rolling_origin_selection,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}",ok,487,176,311,0.7808015277894795,0.6933213257987757,0.3647959183673469,1.9005731448469936,0.19326988385186966,0.11317171730368436,0.491531348932888,-0.1771974640212997,0.17876098375138294,0.072783234374159,1.1490636750833592,-0.1773145544639236,0.30249307628399164,0.8321678321678322,0.5020080321285141,0.4897119341563786,0.8389261744966443,0.1678321678321678,0.4979919678714859,0.18320290993588137,0.9790209790209791,0.25301204819277107,0.4294478527607362,0.9545454545454546,0.020979020979020935,0.7469879518072289,0.5795587237324343,0.42657342657342656,0.8795180722891566,0.6703296703296703,0.7275747508305648,0.5734265734265734,0.12048192771084343,0.7297547669071486,0.829073771542059,0.6023269053199827,0.7708578610283843,0.2991940181584445,0.4240232307575987,1.682690225301485,2.2167731482002893,0.1626008358296443,0.22443102029362363,0.08759752500961335,0.16322775395537714,0.3930797873640836,0.6224773517591082,-0.4934765905935538,0.13791112616521012,0.15965071888813107,0.19727813132678748,0.05652766345369817,0.12255995918884303,0.9187484611457177,1.454198860404654,-0.49390989226197374,0.1381117444473428,0.7702702702702703,0.8904332936271591,0.4387317106996741,0.5650643891267862,0.4130298913043478,0.5640129032258064,0.7786233925918336,0.8986656539089425,0.10956670637284097,0.22972972972972971,0.43493561087321375,0.5612682893003259,0.9534844961240311,1.0,0.20154965072066494,0.30627907141140376,0.3588637102344289,0.49723735135987107,0.9,1.0,0.0,0.04651550387596896,0.6937209285885961,0.798450349279335,0.33561312417145384,0.5225843108504399,0.8359214154411765,0.9179870109247967,0.5529026937877956,0.7741935483870968,0.6699718543046358,0.7905444688874922,0.4774156891495601,0.6643868758285462,0.08201298907520325,0.16407858455882351
kp_cefepime__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__patient_species_30d_episode_first,kp_fep,patient_episode_sensitivity,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,patient_species_30d_episode_first,2025-07-01 through 2026-02-28,2026-03-01 through 2026-06-09,849,258,591,332,110,222,326,332,3,fixed_from_all_samples_same_task_protocol_label,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}",ok,383,116,267,0.7889434889434889,0.682842013042124,0.3313253012048193,2.0609413484544103,0.17785706950908237,0.10847668091635204,0.4503420882990517,-0.1583725533977772,0.1691415939725261,0.043486597798282886,1.32287200166797,0.13391984257132755,0.23946004802554746,0.8636363636363636,0.45495495495495497,0.4398148148148148,0.8706896551724138,0.13636363636363635,0.545045045045045,0.17347142438486868,0.9363636363636364,0.31981981981981983,0.40551181102362205,0.9102564102564102,0.0636363636363636,0.6801801801801801,0.5235686685272006,0.39090909090909093,0.9459459459459459,0.7818181818181819,0.7581227436823105,0.6090909090909091,0.05405405405405406,0.7350363856561094,0.8397081395451262,0.5914023144702358,0.7644507943207499,0.27710843373493976,0.3862395300034372,1.7970951063306693,2.39910351149295,0.14931444297679808,0.20858794764087224,0.08770916356781634,0.1629758821942578,0.34806535114507653,0.58022510450498,-0.438785546195806,0.15965467386609794,0.1508500466322131,0.18903948572751408,0.0364819452087343,0.09897578842031718,1.0222581530560118,1.7049529340685254,-0.17981744963960225,0.4924582968527123,0.7980229591836735,0.923744836917818,0.3937981399541134,0.5188724168912848,0.36887719298245614,0.5074993336886994,0.8110183017663333,0.9280300884955752,0.07625516308218204,0.20197704081632642,0.4811275831087152,0.6062018600458865,0.8867654986522912,0.9802168788307402,0.2610524922471825,0.38158053648614293,0.343495092693566,0.4710588620965979,0.8437088815789474,0.9705988917306053,0.0197831211692598,0.11323450134770885,0.6184194635138571,0.7389475077528174,0.2916565533980583,0.48488943488943487,0.9158795430944964,0.9736870834290968,0.6666666666666666,0.8846311475409836,0.7003338696175377,0.8074214975845411,0.5151105651105651,0.7083434466019417,0.026312916570903212,0.08412045690550364
kp_ceftriaxone__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__all_samples_workload_primary__patient_disjoint_test,kp_cro,patient_episode_sensitivity,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,patient_disjoint_test,2025-07-01 through 2026-02-28,2026-03-01 through 2026-06-09,788,307,481,379,160,219,299,305,3,rolling_origin_selection,"{""class_weight"": null, ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}",ok,471,183,288,0.7698915525114156,0.7167920345540477,0.42216358839050133,1.6979011318499004,0.21597419963630082,0.15774914416905958,0.4219415463362074,0.07728557983475401,0.1916563805876043,0.04546143498288133,1.3878911344701672,0.11361787722891115,0.41036146321996003,0.75,0.6575342465753424,0.6153846153846154,0.782608695652174,0.25,0.34246575342465757,0.20604964412905805,0.9875,0.2328767123287671,0.48466257668711654,0.9622641509433962,0.012499999999999956,0.7671232876712328,0.5840987187588161,0.33125,0.9178082191780822,0.7464788732394366,0.6525974025974026,0.66875,0.0821917808219178,0.7213463306202338,0.8202661253078817,0.633917933580788,0.7893869111330315,0.3619259651820909,0.48488266119845064,1.5071202011357159,1.956435501030045,0.18142393187237332,0.24593848185083686,0.1142735098711691,0.2065109735273297,0.3322932281899515,0.537536713803881,-0.2039583103823659,0.36210111665843847,0.17337359392339227,0.2074500349273701,0.04119970465350823,0.1054297882984446,1.0927669330445573,1.766937430135759,-0.16844733244078391,0.4022560230063635,0.6842105263157895,0.8200414012738853,0.5921946263264845,0.7188978494623656,0.5362281488121919,0.6884679978841576,0.7169756789180936,0.8445685905073287,0.1799585987261147,0.3157894736842105,0.28110215053763443,0.4078053736735155,0.9664391825654174,1.0,0.1770194202082747,0.2903225806451613,0.4174617956765318,0.5506026978639338,0.9,1.0,0.0,0.03356081743458256,0.7096774193548387,0.8229805797917252,0.24996546961325966,0.41775752292882584,0.8789237668161435,0.9524140211640211,0.6268190298507463,0.8433829066265061,0.5847090427740864,0.7171306517131755,0.5822424770711742,0.7500345303867403,0.04758597883597889,0.12107623318385652
kp_ceftriaxone__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__patient_species_30d_episode_first,kp_cro,patient_episode_sensitivity,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,patient_species_30d_episode_first,2025-07-01 through 2026-02-28,2026-03-01 through 2026-06-09,611,201,410,317,122,195,311,317,3,fixed_from_all_samples_same_task_protocol_label,"{""class_weight"": null, ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}",ok,370,122,248,0.7609920134510298,0.6724109019632522,0.38485804416403785,1.7471660321504174,0.21563357715212855,0.15912593997449856,0.35138278255475786,0.06949431844710939,0.1960621857926232,0.06185445430083858,1.6609794013810302,0.5129625880355265,0.33187431298808745,0.7704918032786885,0.6205128205128205,0.5595238095238095,0.8120805369127517,0.2295081967213115,0.37948717948717947,0.19759532017831574,0.9672131147540983,0.2358974358974359,0.4419475655430712,0.92,0.032786885245901676,0.764102564102564,0.5009976374951309,0.29508196721311475,0.9435897435897436,0.7659574468085106,0.6814814814814815,0.7049180327868853,0.05641025641025643,0.7044969461769947,0.812150095283137,0.5873357129937977,0.751133102589847,0.326984126984127,0.4402862924825903,1.544825412319635,2.0114483635002145,0.18164702075404757,0.24999552994148835,0.12934077286728313,0.2160318171423894,0.26201903600924964,0.4578395027839044,-0.21783145579491434,0.3557648765912308,0.17797934250523761,0.2145348140678787,0.047743675723815174,0.11942012363343728,1.2376270765693413,2.1643362157158137,0.161378429914917,0.8991789940417313,0.6863528317486565,0.8439788978025811,0.5511280080213904,0.6914505494505494,0.4792773892773893,0.6331462016244624,0.7437373310810811,0.8714333976833977,0.1560211021974189,0.3136471682513435,0.3085494505494506,0.4488719919786096,0.9310278514588859,0.9923091603053436,0.18030336778332146,0.30052945319181046,0.3807557034220532,0.5037043946932006,0.8420753588516746,0.9821506892230576,0.007690839694656462,0.06897214854111408,0.6994705468081895,0.8196966322166785,0.21665,0.375,0.9115954059276596,0.973404255319149,0.6538265306122449,0.8780487804878049,0.6259252597921662,0.740604984683932,0.625,0.78335,0.02659574468085102,0.0884045940723403
