run_id,task_id,analysis_id,protocol,analysis_version,model,endpoint,status,n_development,development_positive_n,development_negative_n,n_test,test_positive_n,test_negative_n,test_episode_n,rolling_origin_fold_n,oof_n,best_hyperparameters,AUROC,AUPRC,AUPRC_baseline,AUPRC_lift,Brier_raw,ECE_raw,calibration_slope_raw,calibration_intercept_raw,Brier_platt,ECE_platt,calibration_slope_platt,calibration_intercept_platt,threshold_youden,sensitivity_youden,specificity_youden,PPV_youden,NPV_youden,non_susceptible_miss_rate_youden,susceptible_alert_rate_youden,threshold_sens90,sensitivity_sens90,specificity_sens90,PPV_sens90,NPV_sens90,non_susceptible_miss_rate_sens90,susceptible_alert_rate_sens90,threshold_spec90,sensitivity_spec90,specificity_spec90,PPV_spec90,NPV_spec90,non_susceptible_miss_rate_spec90,susceptible_alert_rate_spec90,AUROC_CI_low,AUROC_CI_high,AUPRC_CI_low,AUPRC_CI_high,AUPRC_baseline_CI_low,AUPRC_baseline_CI_high,AUPRC_lift_CI_low,AUPRC_lift_CI_high,Brier_raw_CI_low,Brier_raw_CI_high,ECE_raw_CI_low,ECE_raw_CI_high,calibration_slope_raw_CI_low,calibration_slope_raw_CI_high,calibration_intercept_raw_CI_low,calibration_intercept_raw_CI_high,Brier_platt_CI_low,Brier_platt_CI_high,ECE_platt_CI_low,ECE_platt_CI_high,calibration_slope_platt_CI_low,calibration_slope_platt_CI_high,calibration_intercept_platt_CI_low,calibration_intercept_platt_CI_high,sensitivity_youden_CI_low,sensitivity_youden_CI_high,specificity_youden_CI_low,specificity_youden_CI_high,PPV_youden_CI_low,PPV_youden_CI_high,NPV_youden_CI_low,NPV_youden_CI_high,non_susceptible_miss_rate_youden_CI_low,non_susceptible_miss_rate_youden_CI_high,susceptible_alert_rate_youden_CI_low,susceptible_alert_rate_youden_CI_high,sensitivity_sens90_CI_low,sensitivity_sens90_CI_high,specificity_sens90_CI_low,specificity_sens90_CI_high,PPV_sens90_CI_low,PPV_sens90_CI_high,NPV_sens90_CI_low,NPV_sens90_CI_high,non_susceptible_miss_rate_sens90_CI_low,non_susceptible_miss_rate_sens90_CI_high,susceptible_alert_rate_sens90_CI_low,susceptible_alert_rate_sens90_CI_high,sensitivity_spec90_CI_low,sensitivity_spec90_CI_high,specificity_spec90_CI_low,specificity_spec90_CI_high,PPV_spec90_CI_low,PPV_spec90_CI_high,NPV_spec90_CI_low,NPV_spec90_CI_high,non_susceptible_miss_rate_spec90_CI_low,non_susceptible_miss_rate_spec90_CI_high,susceptible_alert_rate_spec90_CI_low,susceptible_alert_rate_spec90_CI_high
sa_oxacillin__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__all_samples_workload_primary,sa_oxa,local_temporal,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,ok,498,262,236,191,108,83,154,3,252,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}",0.6337572512271308,0.7196159323009532,0.5654450261780105,1.2726541024952043,0.2949983039547248,0.22830496503492884,0.1780655261780946,0.21937120082062803,0.23960359698365102,0.08773557695334822,0.743871376356649,0.31283462013864954,0.5048215668479408,0.5833333333333334,0.6506024096385542,0.6847826086956522,0.5454545454545454,0.41666666666666663,0.3493975903614458,0.348459796366438,0.8240740740740741,0.20481927710843373,0.5741935483870968,0.4722222222222222,0.17592592592592593,0.7951807228915663,0.6088670120144205,0.3148148148148148,0.891566265060241,0.7906976744186046,0.5,0.6851851851851851,0.10843373493975905,0.5456323144933154,0.7218487027969507,0.6176655861616254,0.8156468111345857,0.48999747474747474,0.6440086134098969,1.1310653147889997,1.4402415599157399,0.2373803229346999,0.3500459152454306,0.17662097099795424,0.312579092907808,0.06369740291389682,0.31311358898493324,-0.11126212551273805,0.5584584241164248,0.21762025425665518,0.2619238927021473,0.05889172792154999,0.16955010705790616,0.2665517180534624,1.3093197985303,0.0028663676321896837,0.6486853616594204,0.47855987055016186,0.6818288020390824,0.5516991504247876,0.7534246575342466,0.58325,0.7934782608695652,0.4443910256410256,0.6555729166666666,0.31817119796091764,0.5214401294498381,0.2465753424657534,0.4483008495752124,0.7431127129750983,0.8972022525760843,0.12657864105921723,0.2976190476190476,0.48683321479374114,0.6641830184740632,0.32347689075630254,0.6410714285714286,0.10279774742391566,0.2568872870249017,0.7023809523809523,0.8734213589407828,0.22123893805309736,0.4166666666666667,0.8082060063224447,0.9512625538020085,0.6511627906976745,0.9047619047619048,0.4073835125448029,0.5903167517006802,0.5833333333333333,0.7787610619469026,0.04873744619799144,0.19179399367755529
sa_levofloxacin__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__all_samples_workload_primary,sa_lvx,local_temporal,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,ok,496,187,309,191,64,127,154,3,251,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 31, ""subsample"": 0.8}",0.8046259842519685,0.7359964027911449,0.33507853403141363,2.1964892645798226,0.187908298214781,0.1546715590495092,0.3303575669030171,-0.11241679571459931,0.1613618204663931,0.06949439310434322,1.4748346385458706,0.12477652323583921,0.5340788789068648,0.4375,0.937007874015748,0.7777777777777778,0.7677419354838709,0.5625,0.06299212598425197,0.23385568453118064,0.90625,0.4409448818897638,0.4496124031007752,0.9032258064516129,0.09375,0.5590551181102362,0.5894219327842807,0.359375,0.968503937007874,0.8518518518518519,0.75,0.640625,0.03149606299212604,0.727557280987227,0.8760340845094434,0.6027987818837379,0.8355659521233644,0.2560206598828246,0.4117966751918158,1.8290467834864124,2.788422596886919,0.13792966383084562,0.24250445579468566,0.11380299547201289,0.2259832615717837,0.2462727674226962,0.4599018314761149,-0.5722702179727275,0.3618974378831495,0.13563345882554184,0.1895230516784505,0.058961270125087985,0.14247870787041833,1.0995464011892266,2.0526060360377723,-0.3502280824008737,0.6496170117852023,0.28116319444444443,0.5714285714285714,0.8896854575163399,0.9765715144230769,0.5998936170212765,0.9166666666666666,0.6937375383435582,0.8441558441558441,0.4285714285714286,0.7188368055555555,0.023428485576923078,0.11031454248366017,0.821882683526519,0.9796212715855572,0.34718828320802003,0.5299479166666666,0.34998983739837397,0.5496490490360978,0.8135536723163842,0.9796303427031189,0.020378728414442725,0.17811731647348086,0.4700520833333333,0.6528117167919799,0.22029925847457626,0.5,0.9357085253456221,0.9921875,0.6666666666666666,0.9642857142857143,0.6762804808023581,0.8292682926829268,0.5,0.7797007415254237,0.0078125,0.06429147465437787
sa_gentamicin__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__all_samples_workload_primary,sa_gen,local_temporal,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,ok,496,80,416,191,33,158,154,3,251,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}",0.8555811277330265,0.614071130815603,0.17277486910994763,3.5541692722963694,0.11625725595558663,0.113989771705577,0.36058612551877955,0.03143913984656002,0.10402601976163076,0.06419773740402267,1.5435014664853037,0.20059803163839043,0.28614549107231607,0.6060606060606061,0.8544303797468354,0.46511627906976744,0.9121621621621622,0.3939393939393939,0.14556962025316456,0.07392670946402612,1.0,0.11392405063291139,0.1907514450867052,1.0,0.0,0.8860759493670887,0.32297591044642604,0.5454545454545454,0.8987341772151899,0.5294117647058824,0.9044585987261147,0.4545454545454546,0.10126582278481011,0.7841848613410596,0.9160999942187096,0.41376401405678437,0.775742599493572,0.10211000170677591,0.2464016018306636,2.5593962807634165,5.76407496975734,0.06557420079505444,0.1665553852736934,0.06766089207724478,0.16869795278006153,0.25819990989808195,0.5008149147193024,-0.7076560302373474,0.801482699554154,0.07311504694602435,0.13578033679103735,0.04948658109130009,0.11929703595129555,1.104708542275717,2.1422009321371887,-0.584933190696156,1.0157257650846316,0.40609375000000003,0.7777777777777778,0.7926771744132536,0.9096882928597317,0.2702702702702703,0.6364028213166144,0.8602394674085851,0.9622884295227525,0.2222222222222222,0.5939062499999999,0.09031170714026822,0.2073228255867464,1.0,1.0,0.06492459153749476,0.16778640822264984,0.11049643453681099,0.2711986871754678,1.0,1.0,0.0,0.0,0.8322135917773502,0.9350754084625053,0.36642857142857144,0.7142857142857143,0.8439716312056738,0.9470665634674922,0.32134740259740263,0.7143772893772893,0.8503316326530612,0.9554280334895645,0.2857142857142857,0.6335714285714283,0.052933436532507774,0.15602836879432624
kp_cefepime__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__all_samples_workload_primary,kp_fep,local_temporal,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,ok,1089,394,695,424,164,260,337,3,487,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}",0.788297373358349,0.7177071707881162,0.3867924528301887,1.855535612281471,0.19377735953274372,0.11571938572096813,0.5131283720452476,-0.0738926028107414,0.1791744431980861,0.07281818520815711,1.199106136656461,-0.07369339884949928,0.30249307628399164,0.8475609756097561,0.5038461538461538,0.5186567164179104,0.8397435897435898,0.15243902439024393,0.49615384615384617,0.18320290993588137,0.9817073170731707,0.25,0.45224719101123595,0.9558823529411765,0.018292682926829285,0.75,0.5795587237324343,0.4268292682926829,0.8807692307692307,0.693069306930693,0.7089783281733746,0.5731707317073171,0.11923076923076925,0.7366351795810412,0.8337070052042136,0.6351315044914959,0.788631743867097,0.33167675792675794,0.4449600291443466,1.6284907433876683,2.1086834195215607,0.16608307755107082,0.22567661606859146,0.08652069137392972,0.16382044912616583,0.4132461948124001,0.6376352141491045,-0.3603517480248604,0.20197135283140422,0.16189297703600788,0.19886036569866541,0.05282470351206345,0.11817125156758004,0.9658955276685667,1.4897250515830174,-0.3605614455377818,0.2017965902084585,0.7890967498110355,0.9019607843137255,0.4389312977099237,0.5601644736842105,0.4494227196319561,0.5880333471416735,0.7735634648370497,0.8979624333809957,0.0980392156862745,0.21090325018896447,0.4398355263157895,0.5610687022900763,0.9556891477868258,1.0,0.2030584358170565,0.2973076129564679,0.3880551786521936,0.5180080479016043,0.8974264705882353,1.0,0.0,0.04431085221317424,0.702692387043532,0.7969415641829436,0.3402364417989418,0.5099371083159252,0.8365614785992218,0.9176551011029411,0.5833333333333334,0.7843239379084967,0.6464938151943136,0.766236800582595,0.4900628916840748,0.6597635582010581,0.08234489889705886,0.16343852140077816
kp_ceftriaxone__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__all_samples_workload_primary,kp_cro,local_temporal,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,ok,788,307,481,407,181,226,323,3,471,"{""class_weight"": null, ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}",0.7828680389184961,0.7453251193069688,0.44471744471744473,1.6759520638560015,0.2118431512687716,0.1534908326438483,0.4525394628159941,0.1838775977471963,0.19067210634841392,0.05851908048368342,1.488368350326225,0.22293910407176884,0.41036146321996003,0.7624309392265194,0.668141592920354,0.647887323943662,0.7783505154639175,0.2375690607734806,0.331858407079646,0.20604964412905805,0.988950276243094,0.22566371681415928,0.5056497175141242,0.9622641509433962,0.011049723756906049,0.7743362831858407,0.5840987187588161,0.3425414364640884,0.9203539823008849,0.775,0.636085626911315,0.6574585635359116,0.07964601769911506,0.7334456258219929,0.8282419289621893,0.6674050917504126,0.8170617859879976,0.38461538461538464,0.5059426998090562,1.5100974454886962,1.8834182316628343,0.18172233353728454,0.24065630173295088,0.11318854272195243,0.20166642955144612,0.35627850487414525,0.5675715143010783,-0.08673860905547817,0.4618071711691405,0.17471786299651368,0.2057890399467655,0.043054621909167055,0.109713870090401,1.171941990295931,1.8668098948664427,-0.05120082573079134,0.5057409880257737,0.6982082551594747,0.8212867678586742,0.6008767223853625,0.730090251439809,0.5714285714285714,0.7217918864835364,0.7197544642857143,0.8351831501831501,0.1787132321413258,0.3017917448405253,0.269909748560191,0.39912327761463745,0.9720631159374804,1.0,0.17488250729433882,0.2775449211252673,0.4413471288291173,0.5687509359089548,0.9038461538461539,1.0,0.0,0.027936884062519637,0.7224550788747327,0.8251174927056611,0.2655367231638418,0.42311827956989245,0.8839257928275044,0.9530145929339477,0.6760380464605816,0.865188810378779,0.5722964071856287,0.7018648471094123,0.5768817204301074,0.7344632768361582,0.04698540706605228,0.11607420717249559
kp_ceftazidime__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__all_samples_workload_primary,kp_caz,local_temporal,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,ok,1100,403,697,429,166,263,342,3,492,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}",0.7535617756195886,0.6772631797070958,0.38694638694638694,1.75027653068882,0.20617107038345076,0.11974761873170922,0.44283362223896006,-0.182349399854684,0.19087050189553859,0.03552417377266391,1.0349157071858315,-0.07699734744890592,0.44368953940632044,0.6024096385542169,0.7680608365019012,0.6211180124223602,0.753731343283582,0.3975903614457831,0.23193916349809884,0.19628741032704475,0.9578313253012049,0.23574144486692014,0.44166666666666665,0.8985507246376812,0.04216867469879515,0.7642585551330798,0.5622209116659044,0.39759036144578314,0.8859315589353612,0.6875,0.6996996996996997,0.6024096385542168,0.11406844106463876,0.7010708239168045,0.8031377140470513,0.5943518682272279,0.7539552147117136,0.32370585764890625,0.4541286969193194,1.538356246344306,2.035019135023153,0.17672225622363072,0.23621293618830239,0.08916000572403693,0.17425949914325545,0.34170637163248796,0.5687765010337629,-0.4775952063594358,0.11087759649544267,0.17179617646832168,0.21039492477542796,0.03374795959724331,0.09455660716345664,0.7987647503565671,1.3294799627970935,-0.3706507029000972,0.21974189609074635,0.5189568206643963,0.6923192771084337,0.7121197382384153,0.8211813217903017,0.5341520480107437,0.7070079778678504,0.6834443712635525,0.8198889370386937,0.3076807228915663,0.48104317933560364,0.17881867820969835,0.2878802617615847,0.9256704297465167,0.9857242063492064,0.188,0.28156434215477233,0.37175601234347505,0.5103695843898137,0.8194402610441767,0.9655172413793104,0.014275793650793601,0.07432957025348332,0.7184356578452277,0.812,0.3134881756756757,0.48252840909090905,0.8473143930066486,0.923722710390434,0.5782998661311914,0.7899180672268907,0.6293045891742556,0.7645439415976728,0.5174715909090909,0.6865118243243243,0.07627728960956603,0.1526856069933514
kp_ciprofloxacin__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__all_samples_workload_primary,kp_cip,local_temporal,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,ok,1099,500,599,432,217,215,343,3,492,"{""class_weight"": null, ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 31, ""subsample"": 0.8}",0.783002893580538,0.797986259635623,0.5023148148148148,1.5886178072008716,0.21100725798327272,0.1366082283802018,0.4030507060479087,0.1628894149891983,0.19198170562805697,0.04542429435153454,1.180434372211187,0.23238420422623077,0.4743771557095023,0.6497695852534562,0.7534883720930232,0.7268041237113402,0.680672268907563,0.3502304147465438,0.24651162790697678,0.22706276538925574,0.9447004608294931,0.28837209302325584,0.5726256983240223,0.8378378378378378,0.055299539170506895,0.7116279069767442,0.624941890287145,0.4009216589861751,0.9255813953488372,0.8446601941747572,0.6048632218844985,0.599078341013825,0.07441860465116279,0.7373906380386939,0.8268175571601267,0.742257301266174,0.8453296707502508,0.4433673556786387,0.555313366536546,1.45518706571489,1.7646266757393647,0.18057017139189957,0.24177802682876076,0.1054267919789269,0.18309668501051146,0.3197438903955391,0.5057303540465808,-0.10351192507379055,0.4202014570162392,0.17459575205419536,0.2097798152777985,0.03720810306381616,0.09866240777662895,0.936604418853699,1.4809295506515627,-0.03550221832360188,0.4881157556860347,0.5874423135530498,0.710535669743078,0.6916186188131641,0.8125066489361702,0.6609963797926609,0.7900599649642905,0.6127593085106383,0.7500255102040816,0.2894643302569219,0.41255768644695023,0.18749335106382978,0.3083813811868359,0.9113271718613324,0.9720962532299742,0.22373444127668451,0.35096527777777775,0.5113527694982613,0.6264515377446411,0.7456900726392252,0.9166666666666666,0.027903746770025866,0.08867282813866764,0.6490347222222222,0.7762655587233156,0.3261755308086442,0.46944741606319945,0.8842542270531402,0.9590909090909091,0.7662185470779221,0.9126506528289253,0.5437364969135802,0.6666666666666666,0.5305525839368005,0.6738244691913559,0.040909090909090895,0.11574577294685985
ec_ceftriaxone__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__all_samples_workload_primary,ec_cro,local_temporal,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,ok,693,403,290,461,243,218,415,3,429,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 50, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}",0.4918639332502738,0.5531410832025473,0.527114967462039,1.049374647557096,0.31704582687172683,0.22538924697626203,-0.01518020756678049,0.11437895441417736,0.2557176539039088,0.0760665993973393,-0.09956582117450927,0.14326058930038327,0.5641733774980183,0.6584362139917695,0.3211009174311927,0.5194805194805194,0.45751633986928103,0.34156378600823045,0.6788990825688073,0.5249019247323076,0.8724279835390947,0.0871559633027523,0.5158150851581509,0.38,0.12757201646090532,0.9128440366972477,0.6521451785219741,0.09876543209876543,0.9311926605504587,0.6153846153846154,0.48104265402843605,0.9012345679012346,0.06880733944954132,0.43842005421871294,0.5453595219147106,0.48328763009562264,0.6232230817105519,0.47412368980707886,0.5784010391026092,0.9658420702186535,1.15002646691349,0.29132455406996477,0.3452342998149458,0.1853883692496646,0.28211225475704743,-0.164823322262816,0.12188458945766029,-0.10236757163843994,0.3285554911809475,0.24600317562533544,0.2663716496338998,0.036538124094118773,0.12846563518844786,-1.0744177713037233,0.7945873720806605,-0.2517933477551611,0.5253551056113459,0.5944825416290177,0.7158341970491403,0.26395131518227966,0.3830869019389036,0.4519660935960101,0.5787903889890988,0.37573863636363636,0.5437616921768706,0.28416580295085964,0.40551745837098224,0.6169130980610965,0.7360486848177203,0.8277000420035703,0.9130520369736391,0.052620137299771164,0.12442495203813216,0.4603663250940479,0.5674434569740833,0.24528301886792453,0.5208559782608696,0.08694796302636089,0.17229995799642966,0.8755750479618678,0.9473798627002289,0.06305552414339025,0.13915217391304346,0.8954426110419261,0.9611697387552178,0.45454545454545453,0.7727840909090908,0.4268529645809312,0.5368183335704981,0.8608478260869565,0.9369444758566097,0.03883026124478212,0.10455738895807383
ec_ciprofloxacin__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__all_samples_workload_primary,ec_cip,local_temporal,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,ok,989,828,161,484,411,73,433,3,451,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 31, ""subsample"": 0.8}",0.56994300569943,0.8727005981688762,0.8491735537190083,1.0277058139020343,0.1569116699789663,0.1394339154808702,0.07570859989383372,1.3903831128345514,0.12878052060733425,0.03833224566083272,0.7132180926323886,0.2650043752974527,0.8988672575005358,0.3722627737226277,0.7397260273972602,0.8895348837209303,0.17307692307692307,0.6277372262773723,0.26027397260273977,0.8454872162514743,0.9002433090024331,0.0958904109589041,0.8486238532110092,0.14583333333333334,0.0997566909975669,0.904109589041096,0.9130929121566245,0.18004866180048662,0.8904109589041096,0.9024390243902439,0.16169154228855723,0.8199513381995134,0.1095890410958904,0.5006228422589188,0.6321156204346728,0.8285566875838561,0.9178227325622876,0.8132751451401186,0.8862696854677937,0.9938306675566491,1.0638199492663678,0.12334095925588454,0.1899276091389528,0.10988719444765618,0.1777358774034531,-0.012861137953272875,0.15836061504550109,0.9736620630785048,1.914579288305201,0.10009920633362845,0.15553075272309547,0.009610891782070564,0.07340928863437399,-0.12184550323760414,1.4928859487745585,-1.3115546211592828,2.0406890729624774,0.3217821782178218,0.4198610952869241,0.6323529411764706,0.8354430379746836,0.8404907975460123,0.9340773809523809,0.12701527465924545,0.21936924952887707,0.5801389047130759,0.6782178217821782,0.16455696202531644,0.36764705882352944,0.8721501333980111,0.9280405658259112,0.036574346165148396,0.16176470588235295,0.8100605531280031,0.88641943042993,0.05767857142857143,0.25,0.07195943417408877,0.12784986660198885,0.8382352941176471,0.9634256538348516,0.14181842026378896,0.217502597799511,0.8157518796992481,0.9531430288461539,0.8309739794700406,0.9589315068493149,0.12106537530266344,0.19951970443349754,0.782497402200489,0.858181579736211,0.046856971153846155,0.18424812030075186
ec_cefepime__historical_S_vs_IR__lightgbm__B_post_marker_current_temporal__all_samples_workload_primary,ec_fep,local_temporal,current_workflow_protocol_b,v2026.07.17.3,lightgbm,historical_S_vs_IR,ok,946,416,530,467,205,262,419,3,424,"{""class_weight"": null, ""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}",0.5381865574380935,0.4973925324970394,0.43897216274089934,1.1330844520786216,0.29394076203992986,0.2134720250283285,0.11358257026750207,-0.18841572604495732,0.24617073180535426,0.04535724612605475,1.424215873520837,-0.1023973696071518,0.47159612106157517,0.5609756097560976,0.4847328244274809,0.46,0.5852534562211982,0.4390243902439024,0.5152671755725191,0.4263259244525245,0.975609756097561,0.05725190839694656,0.44742729306487694,0.75,0.024390243902439046,0.9427480916030534,0.5076230439970598,0.15609756097560976,0.9312977099236641,0.64,0.5851318944844125,0.8439024390243902,0.06870229007633588,0.47953566511834456,0.5883901942414299,0.4263681811646072,0.5751972243597127,0.3904515271332729,0.4924453791065136,1.0223471982971244,1.271244575566846,0.27071512569153217,0.3214438570559989,0.17469494390100093,0.26078161813202294,-0.03515658119863638,0.24351506817127497,-0.39673391565462673,0.04014465765743711,0.24280153932407325,0.24981767752065354,0.010312380231694868,0.09401705135867652,-0.4435888315977305,3.0553186474257554,-0.37485332730800164,0.16797795599005325,0.4900940094009401,0.6298076923076923,0.4230357142857143,0.5461607142857142,0.3906203311752988,0.53166088199265,0.5169041675334581,0.6519859656191244,0.3701923076923077,0.5099059905990599,0.4538392857142858,0.5769642857142856,0.9536082474226805,0.9949513794663049,0.031869348004806175,0.08628300138953218,0.3990499490316004,0.5011494252873563,0.5383333333333333,0.9333333333333333,0.0050486205336951915,0.046391752577319534,0.9137169986104677,0.9681306519951939,0.1004665071770335,0.2107924836601307,0.8996408851247562,0.9608113160518444,0.4901752190237797,0.7742137096774193,0.5310967760309866,0.6361447197239662,0.7892075163398693,0.8995334928229666,0.03918868394815551,0.10035911487524386
